name,position,age,player_id,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
A.J. Brown,WR,26.7,00-0035676,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,60.0,1,0.0,0.0,2.0,3.387289606500417,0,52,84,1051.0,8,1.0,0.0,1107.0,465.0,39.0,49.557836943611335,0,16.799956580038877,3.179558291655548,4.661604062628108,8.032460281322997,0.0,165.1,217.1,16,0.1875,0.28391895357784047,0.25326797385620914,0.5083851628622724,0.26567239635995954,0.27586206896551724,0.22033898305084745,0.22815533980582525,0.2707672326627384,0.2677103308810711,2.345982142857143,0.1481769660237247
A.J. McCarron,QB,33.5,00-0031288,2019,21,37,225.0,0,1.0,5.0,43.0,0,0,313.0,130.0,11.0,-8.248081752069993,0,0.7305194805194806,0.0053639534848534745,5,39.0,1,0.0,0.0,3.0,0.5990348655031994,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.9,16.9,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.1307442364227139
Aaron Jones,RB,29.3,00-0033293,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,236,1084.0,16,2.0,1.0,55.0,-1.3766320837312378,0,49,68,474.0,3,1.0,1.0,186.0,437.0,18.0,7.183671504714092,0,-9.193011804537292,1.9958991895896334,0.6043824720851005,3.41691651484402,0.0,265.8,314.8,16,0.11867364746945899,0.03708133971291866,0.21484759095378564,0.20767554297452342,0.1179985063480209,0.11538461538461539,0.09473684210526316,0.09722222222222222,0.11669156086631816,0.11747572815533981,0.8272251308900523,0.21682232691407002
Aaron Rodgers,QB,40.3,00-0023459,2019,353,569,4002.0,26,4.0,36.0,284.0,3,3,5006.0,2020.0,189.0,57.70745093267907,2,13.523566391199427,1.7509138282026062,46,183.0,1,1.0,1.0,9.0,-0.8270631845766241,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,278.38,278.38,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1917376091688018
Adam Humphries,WR,30.6,00-0032009,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0,0.0,0.0,0.0,-0.461139629711397,0,37,47,374.0,2,0.0,0.0,351.0,120.0,20.0,17.762918807161967,0,12.637643182410985,1.71720735776063,1.4666867062546922,3.6024917310192293,0.0,49.5,86.5,12,0.13988095238095238,0.13014460511679643,0.09153318077803203,0.31393711266486574,0.1339541547277937,0.10526315789473684,0.16,0.1527777777777778,0.11960865631126527,0.12821595536118235,1.1130952380952381,0.08477233971657618
Adam Shaheen,TE,30.1,00-0033896,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,13,74.0,0,0.0,0.0,49.0,38.0,3.0,0.6520809621627119,1,10.94069264069264,0.39687057618746424,0.2056571567156679,0.7392658739821638,0.0,9.4,18.4,7,0.052845528455284556,0.026805251641137857,0.06291390728476821,0.10071249399583712,0.05240793201133145,0.0,0.04225352112676056,0.03896103896103896,0.026203966005665724,0.04192634560906516,0.3008130081300813,0.03695669639270507
Adam Thielen,WR,33.6,00-0030035,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,6.0,1,0.0,0.0,1.0,-0.9841555329039693,0,30,48,418.0,6,0.0,0.0,586.0,117.0,18.0,19.658675223805016,0,7.435607942050801,2.016072241072241,3.185330588078035,5.253839773262986,0.0,84.4,114.4,10,0.16901408450704225,0.24798984341938213,0.11228406909788867,0.45191300149606906,0.18487394957983194,0.3333333333333333,0.17647058823529413,0.2,0.2591036414565826,0.21456582633053223,1.471830985915493,0.13006799008572664
Adrian Peterson,RB,39.0,00-0025394,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,211,898.0,5,2.0,1.0,41.0,-25.582746157393558,0,17,23,142.0,0,1.0,1.0,-43.0,161.0,7.0,-1.1702296046502694,0,10.933333333333334,0.7676089042468353,-0.20058533404861653,1.0110036225362213,0.0,130.0,147.0,15,0.052873563218390804,-0.01297134238310709,0.12697160883280756,0.06893327092110052,0.050265486725663715,0.0,0.050359712230215826,0.045454545454545456,0.025132743362831857,0.040212389380530976,0.3264367816091954,0.14833501513622604
Albert Wilson,WR,31.6,00-0030669,2019,1,2,20.0,0,0.0,1.0,10.0,0,0,20.0,23.0,1.0,-0.8180879853898659,0,1.0,0.0,5,45.0,0,0.0,0.0,1.0,2.0860169932129793,0,43,62,351.0,1,0.0,0.0,327.0,179.0,22.0,4.941902770136949,0,10.516993600862023,1.5538685623655042,0.9306091219976731,2.9822292289466272,0.0,46.400000000000006,89.4,13,0.12133072407045009,0.07358235823582358,0.13448534936138243,0.24086197269433401,0.09965928449744463,0.047619047619047616,0.12021857923497267,0.11274509803921569,0.07363916605824612,0.08925123712176522,0.6868884540117417,0.07789627770807193
Alec Ingold,RB,27.7,00-0035125,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,10,17.0,0,0.0,0.0,7.0,2.3489639135659672,0,6,6,44.0,1,0.0,0.0,6.0,38.0,4.0,5.713518254342489,0,37.25,0.2041816009557945,0.03584216780811208,0.3313619188993702,0.0,12.100000000000001,18.1,11,0.016483516483516484,0.002564102564102564,0.024934383202099737,0.026776556776556777,0.015764958796130418,0.07142857142857142,0.031007751937984496,0.03496503496503497,0.04359676511235092,0.02689768132261862,0.12087912087912088,0.01925245176250346
